id,pk,slug,name,nickname,date_of_birth,height_centimeters,reach_inches,leg_reach_inches,fighting_style,stance,nationality
RmlnaHRlck5vZGU6MTU4MDA=,15800,donovan-desmae-15800,Donovan Desmae,Vegas,,180.0,71.3,,,,Belgium
RmlnaHRlck5vZGU6MTU4Nzk=,15879,alec-connelly-15879,Alec Connelly,,,,,,,,England
RmlnaHRlck5vZGU6MTU4OA==,1588,dan-spohn-1588,Dan Spohn,Dragon,1984-10-12,191.0,76.0,,Striker,Southpaw,United States
RmlnaHRlck5vZGU6MTU5NA==,1594,daniel-straus-1594,Daniel Straus,,1984-07-27,173.0,67.0,,Grappler,Southpaw,United States
RmlnaHRlck5vZGU6MTUwMQ==,1501,brennan-ward-1501,Brennan Ward,The Irish Bad Boy,1986-06-28,178.0,71.0,,Striker / Wrestler,Orthodox,United States
RmlnaHRlck5vZGU6MTUwNTA=,15050,scott-heston-15050,Scott Heston,,1978-06-16,180.0,,,,,United States
RmlnaHRlck5vZGU6MTUwNjU=,15065,adam-valcourt-15065,Adam Valcourt,,1991-01-24,,,,,,United States
RmlnaHRlck5vZGU6MTUwNzA=,15070,helen-peralta-15070,Helen Peralta,Iansã,1950-07-10,155.0,65.0,,,,United States
RmlnaHRlck5vZGU6MTUwNzg=,15078,drew-lipton-15078,Drew Lipton,God's Warrior,1988-10-10,170.2,,,,,United States
RmlnaHRlck5vZGU6MTUwODM=,15083,shaine-moffitt-15083,Shaine Moffitt,Skeletor,1990-02-20,177.8,,,,,United States
RmlnaHRlck5vZGU6MTUyNDU=,15245,tony-jenkins-15245,Tony Jenkins,The Way,1979-05-18,196.0,75.0,,,,United States
RmlnaHRlck5vZGU6MTUzMTI=,15312,james-gray-15312,James Gray,,,,,,,,United States
RmlnaHRlck5vZGU6MTY0Ng==,1646,eddie-alvarez-1646,Eddie Alvarez,The Silent Assassin,1984-01-11,173.0,68.0,40.0,Well Rounded,Orthodox,United States
RmlnaHRlck5vZGU6MTY1OTE=,16591,adam-wilson-16591,Adam Wilson,,,180.3,,,,,England
RmlnaHRlck5vZGU6MTY2Mjg=,16628,mike-jones-16628,Mike Jones,,1990-04-09,188.0,75.0,,,,United States
RmlnaHRlck5vZGU6MTY2Mzk=,16639,valeria-mejia-16639,Valeria Mejia,Galactika,1987-03-05,160.0,,,,,Peru
RmlnaHRlck5vZGU6MTY3MA==,1670,felipe-chavez-1670,Felipe Chavez,Flip,,,,,,,United States
RmlnaHRlck5vZGU6MTY3Njk=,16769,toby-misech-16769,Toby Misech,2 Quick,1988-03-07,172.7,68.0,,,,United States
RmlnaHRlck5vZGU6MTY4,168,cliff-wright-168,Cliff Wright,The Goblin,1979-01-22,180.3,71.0,,,,United States
RmlnaHRlck5vZGU6MTY5MTk=,16919,trever-bradshaw-16919,Trever Bradshaw,,1987-07-26,178.0,,,,,United States
RmlnaHRlck5vZGU6MTYwMw==,1603,dave-morgan-1603,Dave Morgan,,1985-06-22,162.6,,,,Orthodox,United States
RmlnaHRlck5vZGU6MTYwOA==,1608,david-rickels-1608,David Rickels,The Caveman,1989-01-05,180.3,72.0,,Striker / BJJ Grappler,Southpaw,United States
RmlnaHRlck5vZGU6MTYxNTA=,16150,maki-pitolo-16150,Maki Pitolo,Coconut Bombz,1990-11-24,175.3,73.5,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTYxOQ==,1619,derek-campos-1619,Derek Campos,The Stallion,1988-04-01,175.3,68.0,,,,United States
RmlnaHRlck5vZGU6MTYyMjM=,16223,tom-shoaff-16223,Tom Shoaff,Your Local Ninja,,183.0,74.0,,,,United States
RmlnaHRlck5vZGU6MTYyNQ==,1625,diego-garijo-1625,Diego Garijo,Dos Pistolas,,175.0,,,,,United States
RmlnaHRlck5vZGU6MTYyOTQ=,16294,leo-bercier-16294,Leo Bercier,Bushido,1981-04-27,180.3,71.0,,,,United States
RmlnaHRlck5vZGU6MTYzMA==,1630,donald-sanchez-1630,Donald Sanchez,,1984-08-18,177.8,70.0,,,Orthodox,United States
RmlnaHRlck5vZGU6MTYzNTA=,16350,jeremy-morrison-16350,Jeremy Morrison,Mormon Meteor,,185.4,,,,,"
United States
"
RmlnaHRlck5vZGU6MTYzNTI=,16352,cameron-vancamp-16352,Cameron VanCamp,The Invader,1993-04-27,185.4,74.0,,Striker / BJJ Grappler,Orthodox,United States
RmlnaHRlck5vZGU6MTc0NjM=,17463,john-spencer-17463,John Spencer,,,,,,,,England
RmlnaHRlck5vZGU6MTc1MQ==,1751,jeremiah-riggs-1751,Jeremiah Riggs,Mississippi,1982-12-17,182.9,74.5,,,,United States
RmlnaHRlck5vZGU6MTc1NjY=,17566,vladislav-kanchev-17566,Vladislav Kanchev,C-4,1990-02-17,175.3,,,,,Bulgaria
RmlnaHRlck5vZGU6MTc3MA==,1770,jim-wallhead-1770,Jim Wallhead,Judo,1984-03-14,178.0,73.0,40.0,Striker / Bjj Grappler,Orthodox,England
RmlnaHRlck5vZGU6MTc3MTI=,17712,dustin-long-17712,Dustin Long,,1982-08-02,196.0,,,,,United States
RmlnaHRlck5vZGU6MTc3MTY=,17716,idrees-wasi-17716,Idrees Wasi,Grumpy Bear,1989-12-11,180.3,72.0,,,,United States
RmlnaHRlck5vZGU6MTc3Ng==,1776,joe-elmore-1776,Joe Elmore,Hitman,1982-09-23,175.3,68.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTc4NjU=,17865,dexter-carthon-17865,Dexter Carthon,Bolo,1984-04-05,183.0,,,,,United States
RmlnaHRlck5vZGU6MTc4NzU=,17875,aaron-chalmers-17875,Aaron Chalmers,The Joker,1987-05-26,177.8,71.0,,,,England
RmlnaHRlck5vZGU6MTc4Nzk=,17879,drako-rodriguez-17879,Drako Rodriguez,The Great Drakolini,1996-06-16,175.0,69.5,,Striker / BJJ Grappler,Orthodox,"Eagle Pass, Texas"
RmlnaHRlck5vZGU6MTc4OTU=,17895,lorenzo-hunt-17895,Lorenzo Hunt,The Juggernaut,1982-09-09,191.0,,,,,"Elyria, Ohio"
RmlnaHRlck5vZGU6MTc5Ng==,1796,john-orr-1796,John Orr,BIG,1983-12-02,187.0,,,,,United States
RmlnaHRlck5vZGU6MTcw,170,cody-land-170,Cody Land,Locked and Loaded,1990-08-23,170.2,,,,,United States
RmlnaHRlck5vZGU6MTcwNTE=,17051,branko-busick-17051,Branko Busick,,1990-07-15,185.4,74.0,,,,United States
RmlnaHRlck5vZGU6MTcwNzA=,17070,solon-staley-17070,Solon Staley,Solo,1983-12-09,165.1,,,,,United States
RmlnaHRlck5vZGU6MTcwODk=,17089,joshua-morales-17089,Joshua Morales,,,,,,,,United States
RmlnaHRlck5vZGU6MTcxNTI=,17152,deron-winn-17152,Deron Winn,,1989-06-13,167.6,71.0,,Wrestler,Orthodox,"Liberty, Missouri"
RmlnaHRlck5vZGU6MTcyNzY=,17276,victor-rosas-17276,Victor Rosas,,1988-09-27,170.2,,,,,United States
RmlnaHRlck5vZGU6MTcyOTE=,17291,danny-hilton-17291,Danny Hilton,,1987-02-11,183.0,,,,,United States
RmlnaHRlck5vZGU6MTcz,173,dakota-cochrane-173,Dakota Cochrane,,1986-05-01,172.7,70.0,,Wrestler,Orthodox,United States
RmlnaHRlck5vZGU6MTczNA==,1734,jason-fish-1734,Jason Fish,Hook 'em,,177.8,71.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTczNDI=,17342,kevin-benson-17342,Kevin Benson,Bad Boy,1990-04-13,175.3,70.0,,,,United States
RmlnaHRlck5vZGU6MTg3Ng==,1876,lamont-stafford-1876,Lamont Stafford,KO Kid,1984-06-19,199.0,,,,,United States
RmlnaHRlck5vZGU6MTg4MTc=,18817,hasan-yousefi-18817,Hasan Yousefi,,,182.9,,,,,Iran
RmlnaHRlck5vZGU6MTg4Nw==,1887,lewis-rumsey-1887,Lewis Rumsey,The Beast,1989-11-12,178.0,69.5,,,,United States
RmlnaHRlck5vZGU6MTg5,189,dillard-pegg-189,Dillard Pegg,Joe,1983-11-30,172.7,69.0,,,,United States
RmlnaHRlck5vZGU6MTg5Mg==,1892,lloyd-woodard-1892,Lloyd Woodard,Cupcake,1984-11-12,181.0,69.0,,,Orthodox,United States
RmlnaHRlck5vZGU6MTg5NzQ=,18974,chris-drummond-18974,Chris Drummond,The Albatross,,178.0,,,,,Australia
RmlnaHRlck5vZGU6MTg5OQ==,1899,luis-palomino-1899,Luis Palomino,Baboon,1980-10-09,173.0,69.0,,,,Peru
RmlnaHRlck5vZGU6MTgwNg==,1806,jordan-smith-1806,Jordan Smith,Mata Ele,1984-12-25,183.0,73.0,,Striker,Southpaw,United States
RmlnaHRlck5vZGU6MTgxNzI=,18172,ryan-lilley-18172,Ryan Lilley,The Lion,1989-11-17,167.6,68.0,,,,United States
RmlnaHRlck5vZGU6MTgxOA==,1818,josh-burns-1818,Josh Burns,The Hammer,1978-05-15,183.0,72.0,,,,United States
RmlnaHRlck5vZGU6MTgzNQ==,1835,julian-lane-1835,Julian Lane,Nitrane,1987-07-24,177.8,70.5,,,,United States
