id,pk,slug,event_id,fighter_1_id,fighter_2_id,winner_id,bout_type,weight_class,weight_lbs,outcome_method,outcome_method_details,end_round,end_round_time,fighter_1_odds,fighter_2_odds,is_cancelled
RmlnaHROb2RlOjMyMjk4,32298,sheena-brandenburg-vs-ivana-coleman-32298,RXZlbnROb2RlOjMxODE=,RmlnaHRlck5vZGU6MjAzNTA=,RmlnaHRlck5vZGU6MjUzNTg=,RmlnaHRlck5vZGU6MjAzNTA=,MC,Flyweight,125.0,KO/TKO,,2.0,0:37,,,0
RmlnaHROb2RlOjY2NTM4,66538,artem-lobov-vs-paulie-malignaggi-66538,RXZlbnROb2RlOjMxODA=,RmlnaHRlck5vZGU6MzYxOA==,RmlnaHRlck5vZGU6MzUyMDQ=,RmlnaHRlck5vZGU6MzYxOA==,ME,Lightweight,154.0,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjY2NTQw,66540,abdiel-velazquez-vs-travis-thompson-66540,RXZlbnROb2RlOjMxODA=,RmlnaHRlck5vZGU6OTExNQ==,RmlnaHRlck5vZGU6MzUxOTQ=,RmlnaHRlck5vZGU6OTExNQ==,PL,Bantamweight,135.0,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjMyMjk5,32299,dakota-cochrane-vs-chris-leben-32299,RXZlbnROb2RlOjMxODA=,RmlnaHRlck5vZGU6MTcz,RmlnaHRlck5vZGU6NzMx,RmlnaHRlck5vZGU6MTcz,CO,,,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjMyMzAx,32301,walber-brito-de-barros-vs-joe-riggs-32301,RXZlbnROb2RlOjMxODA=,RmlnaHRlck5vZGU6NjQyNw==,RmlnaHRlck5vZGU6ODI2,RmlnaHRlck5vZGU6NjQyNw==,MC,Catchweight,175.0,Ends in a Draw,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjMyMzAy,32302,jim-alers-vs-elvin-brito-32302,RXZlbnROb2RlOjMxODA=,RmlnaHRlck5vZGU6MzkwMQ==,RmlnaHRlck5vZGU6MzQ2Nw==,RmlnaHRlck5vZGU6MzkwMQ==,PL,Catchweight,160.0,KO/TKO,,1.0,0:45,,,0
RmlnaHROb2RlOjMyMzAw,32300,julian-lane-vs-tom-shoaff-32300,RXZlbnROb2RlOjMxODA=,RmlnaHRlck5vZGU6MTgzNQ==,RmlnaHRlck5vZGU6MTYyMjM=,RmlnaHRlck5vZGU6MTgzNQ==,MC,Catchweight,160.0,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjMyMzAz,32303,david-mundell-vs-drew-lipton-32303,RXZlbnROb2RlOjMxODA=,RmlnaHRlck5vZGU6MTEwMzg=,RmlnaHRlck5vZGU6MTUwNzg=,RmlnaHRlck5vZGU6MTEwMzg=,PL,Catchweight,175.0,KO/TKO,,1.0,1:55,,,0
RmlnaHROb2RlOjY2NTM5,66539,johnny-bedford-vs-reginald-barnett-jr-66539,RXZlbnROb2RlOjMxODA=,RmlnaHRlck5vZGU6OTYy,RmlnaHRlck5vZGU6MjA2NjQ=,RmlnaHRlck5vZGU6OTYy,MC,Bantamweight,135.0,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjMyMzA4,32308,dale-sopi-vs-juan-torres-32308,RXZlbnROb2RlOjMxNzk=,RmlnaHRlck5vZGU6NjY1NA==,RmlnaHRlck5vZGU6ODcxOQ==,RmlnaHRlck5vZGU6NjY1NA==,MC,,,Decision,Unanimous,5.0,5:00,,,0
