id,bout_id,sportsbook_id,outcome_1_id,fighter_1_odds_open,fighter_1_odds_worst,fighter_1_odds_current,fighter_1_odds_best,outcome_2_id,fighter_2_odds_open,fighter_2_odds_worst,fighter_2_odds_current,fighter_2_odds_best
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5ODA5MDU=,RmlnaHROb2RlOjM3MDMw,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTk4ODU0MQ==,-140.0,-140.0,145.0,155.0,T3V0Y29tZU5vZGU6MTk4ODU0MA==,110.0,-185.0,-175.0,110.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5ODA4OTI=,RmlnaHROb2RlOjM2NjQz,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTk4ODUxNQ==,-130.0,-425.0,-400.0,-130.0,T3V0Y29tZU5vZGU6MTk4ODUxNA==,100.0,100.0,300.0,325.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAxMzg=,RmlnaHROb2RlOjM2NjQz,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjAwNTQ4OA==,-163.0,-400.0,-400.0,-163.0,T3V0Y29tZU5vZGU6MjAwNTQ4OQ==,120.0,120.0,275.0,275.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAzODk=,RmlnaHROb2RlOjM2NjQz,U3BvcnRzYm9va05vZGU6MjE=,T3V0Y29tZU5vZGU6MjAwNTg2MQ==,-215.0,-215.0,-215.0,-215.0,T3V0Y29tZU5vZGU6MjAwNTg2MA==,175.0,175.0,175.0,175.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwMDg4ODM=,RmlnaHROb2RlOjM2OTk1,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MjA0MDE5OQ==,-270.0,-270.0,-205.0,-185.0,T3V0Y29tZU5vZGU6MjA0MDE5OA==,210.0,155.0,165.0,210.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwMTE2NjM=,RmlnaHROb2RlOjM2OTk1,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjA0NDc0Mw==,-225.0,-225.0,-225.0,-225.0,T3V0Y29tZU5vZGU6MjA0NDc0NA==,163.0,163.0,163.0,163.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwMTE2NjE=,RmlnaHROb2RlOjM2NzQ3,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjA0NDczOQ==,-300.0,-333.0,-333.0,-275.0,T3V0Y29tZU5vZGU6MjA0NDc0MA==,200.0,188.0,220.0,220.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwMDg4ODE=,RmlnaHROb2RlOjM2NzQ3,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MjA0MDE5NQ==,-325.0,-325.0,-260.0,-215.0,T3V0Y29tZU5vZGU6MjA0MDE5NA==,250.0,175.0,200.0,250.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwOTMwMTY=,RmlnaHROb2RlOjYzMzgw,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MjIwMDU5OA==,-150.0,-150.0,150.0,150.0,T3V0Y29tZU5vZGU6MjIwMDU5Nw==,120.0,-180.0,-180.0,120.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwOTY0NzU=,RmlnaHROb2RlOjYzMzgw,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjIwNzQ5OA==,-138.0,-150.0,-150.0,-138.0,T3V0Y29tZU5vZGU6MjIwNzQ5OQ==,-100.0,-100.0,110.0,110.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwODc4NjI=,RmlnaHROb2RlOjYzMzc2,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjE5MTAyNw==,-333.0,-333.0,-333.0,-333.0,T3V0Y29tZU5vZGU6MjE5MTAyOA==,220.0,220.0,220.0,220.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwNjc1ODE=,RmlnaHROb2RlOjYzMzc2,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MjE1MjMzNg==,-285.0,-285.0,-280.0,-280.0,T3V0Y29tZU5vZGU6MjE1MjMzNQ==,225.0,220.0,220.0,225.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwODc1Mjg=,RmlnaHROb2RlOjYzMzc2,U3BvcnRzYm9va05vZGU6MjE=,T3V0Y29tZU5vZGU6MjE5MDM5OA==,-285.0,-285.0,-285.0,-285.0,T3V0Y29tZU5vZGU6MjE5MDM5Nw==,265.0,265.0,265.0,265.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwNjc1ODY=,RmlnaHROb2RlOjYzMzgx,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MjE1MjM0Ng==,-115.0,-115.0,-115.0,-115.0,T3V0Y29tZU5vZGU6MjE1MjM0NQ==,-115.0,-115.0,-115.0,-115.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwODc1MzM=,RmlnaHROb2RlOjYzMzgx,U3BvcnRzYm9va05vZGU6MjE=,T3V0Y29tZU5vZGU6MjE5MDQwOA==,-115.0,-120.0,-120.0,-115.0,T3V0Y29tZU5vZGU6MjE5MDQwNw==,-125.0,-125.0,-120.0,-120.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwODc4Njg=,RmlnaHROb2RlOjYzMzgx,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjE5MTA0MA==,-110.0,-110.0,-110.0,-110.0,T3V0Y29tZU5vZGU6MjE5MTAzOQ==,-125.0,-125.0,-125.0,-125.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwODc4NjE=,RmlnaHROb2RlOjYzMzgy,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjE5MTAyNQ==,-350.0,-350.0,-350.0,-350.0,T3V0Y29tZU5vZGU6MjE5MTAyNg==,240.0,240.0,240.0,240.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwODc1Mjk=,RmlnaHROb2RlOjYzMzgy,U3BvcnRzYm9va05vZGU6MjE=,T3V0Y29tZU5vZGU6MjE5MDQwMA==,-300.0,-300.0,-300.0,-300.0,T3V0Y29tZU5vZGU6MjE5MDM5OQ==,280.0,280.0,280.0,280.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwNjc1ODI=,RmlnaHROb2RlOjYzMzgy,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MjE1MjMzOA==,-260.0,-325.0,-325.0,-260.0,T3V0Y29tZU5vZGU6MjE1MjMzNw==,200.0,200.0,250.0,250.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwODc4NjY=,RmlnaHROb2RlOjYzMzc3,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjE5MTAzNQ==,-225.0,-225.0,-225.0,-225.0,T3V0Y29tZU5vZGU6MjE5MTAzNg==,163.0,163.0,163.0,163.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwNjc1Nzc=,RmlnaHROb2RlOjM3NTMw,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MjE1MjMyOA==,-240.0,-350.0,-325.0,-210.0,T3V0Y29tZU5vZGU6MjE1MjMyNw==,190.0,170.0,250.0,275.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDEwODc4NjA=,RmlnaHROb2RlOjM3NTMw,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjE5MTAyMw==,-275.0,-333.0,-286.0,-275.0,T3V0Y29tZU5vZGU6MjE5MTAyNA==,188.0,188.0,195.0,220.0
