id,pk,slug,name,date,location,venue,event_order
RXZlbnROb2RlOjM4MjM=,3823,bkfc-fight-night-jackson,BKFC Fight Night: Jackson,2022-01-29,"Jackson, Mississippi",Jackson Convention Complex,27
RXZlbnROb2RlOjM4MjU=,3825,bkfc-knuckle-mania-2,BKFC: Knuckle Mania 2,2022-02-19,"Hollywood, Florida",Hard Rock Casino,28
RXZlbnROb2RlOjM5MTA=,3910,bkfc-fight-night-new-york-2,BKFC Fight Night: New York 2,2022-03-12,"Seneca, New York",Seneca Allegany Resort & Casino Event Center,29
RXZlbnROb2RlOjM5MzI=,3932,bkfc-23-richman-vs-rickels,BKFC 23: Richman vs. Rickels,2022-04-08,"Wichita, Kansas",Intrust Bank Arena,30
RXZlbnROb2RlOjM5NzA=,3970,bkfc-fight-night-ft-lauderdale,BKFC Fight Night: Ft. Lauderdale,2022-04-21,"Ft. Lauderdale, Fla.",Charles F. Dodge City Center,31
RXZlbnROb2RlOjM5Njk=,3969,bkfc-24-hunt-vs-riggs,BKFC 24: Hunt vs. Riggs,2022-04-30,"Great Falls, Montana",Pacific Steel and Recycling Four Seasons Arena,32
RXZlbnROb2RlOjM5ODc=,3987,bkfc-25-adams-vs-cleckler,BKFC 25: Adams vs. Cleckler,2022-05-06,"Orlando, Florida",Caribe Royale Resort,33
RXZlbnROb2RlOjM5Njc=,3967,bkfc-fight-night-omaha,BKFC Fight Night: Omaha,2022-05-13,"Omaha, Nebraska",Liberty First Credit Union Arena,34
RXZlbnROb2RlOjQwNDQ=,4044,bkfc-fight-night-jackson-2,BKFC Fight Night: Jackson 2,2022-06-11,"Jackson, Mississippi",Jackson Convention Complex,35
RXZlbnROb2RlOjQyNzU=,4275,bkfc-26-brito-vs-palomino-2,BKFC 26: Brito vs. Palomino 2,2022-06-24,"Hollywood, Florida",Seminole Hard Rock Hotel & Casino,36
RXZlbnROb2RlOjQzMTU=,4315,bkfc-fight-night-tampa-2,BKFC Fight Night: Tampa 2,2022-07-23,"Tampa, Florida",Florida State Fairgrounds,37
RXZlbnROb2RlOjQyNzg=,4278,bkfc-27-mvp-vs-platinum,BKFC 27: MVP vs. Platinum,2022-08-20,"London, England",OVO Arena Wembley,38
RXZlbnROb2RlOjQyNzc=,4277,bkfc-28-ferea-vs-starling,BKFC 28: Ferea vs. Starling,2022-08-27,"Albuquerque, New Mexico",Rio Rancho Events Center,39
RXZlbnROb2RlOjQzNzU=,4375,bkfc-thailand-3,BKFC: Thailand 3,2022-09-03,"Bangkok, Thailand",Rajadamnern Stadium,40
RXZlbnROb2RlOjQzNTY=,4356,bkfc-29-montana-2,BKFC 29: Montana 2,2022-09-10,"Great Falls, Montana",Four Seasons Arena,41
RXZlbnROb2RlOjQzOTk=,4399,bkfc-30-hunt-vs-henry,BKFC 30: Hunt vs. Henry,2022-10-01,"Monroe, Louisiana",Fant-Ewing Coliseum,42
RXZlbnROb2RlOjQzOTQ=,4394,bkfc-31-richman-vs-doolittle,BKFC 31: Richman vs. Doolittle,2022-10-15,"Broomfield, Colorado",1st Bank Center,43
RXZlbnROb2RlOjQ0MzY=,4436,bkfc-32-barnett-vs-herrera,BKFC 32: Barnett vs. Herrera,2022-11-05,"Orlando, Florida",Caribe Royale,44
RXZlbnROb2RlOjQ0Mzk=,4439,bkfc-33-beltran-vs-alexander,BKFC 33: Beltran vs. Alexander,2022-11-18,"Omaha, Nebraska",Liberty First Arena,45
RXZlbnROb2RlOjQ0MTU=,4415,bkfc-fight-night-newcastle,BKFC Fight Night: Newcastle,2022-11-26,"Newcastle, United Kingdom",Walker Activity Dome,46
