bout_id,offer_type_id,is_not,average_odds,fighter_pk,description,not_description
RmlnaHROb2RlOjU5MzMz,STRAIGHT,0,-146,45128.0,,
RmlnaHROb2RlOjU5MzMy,STRAIGHT,0,-105,43175.0,,
RmlnaHROb2RlOjU5MzMy,STRAIGHT,0,-121,62292.0,,
RmlnaHROb2RlOjM5NzMx,STRAIGHT,0,-107,13845.0,,
RmlnaHROb2RlOjM5NzMx,STRAIGHT,0,-123,9494.0,,
RmlnaHROb2RlOjM5NzMy,STRAIGHT,0,-168,1835.0,,
RmlnaHROb2RlOjM5NzMy,STRAIGHT,0,131,11038.0,,
RmlnaHROb2RlOjM5NzI4,STRAIGHT,0,154,9499.0,,
RmlnaHROb2RlOjM5NzI4,STRAIGHT,0,-198,170.0,,
RmlnaHROb2RlOjM5NzI5,STRAIGHT,0,164,36994.0,,
RmlnaHROb2RlOjM5NzI5,STRAIGHT,0,-214,22980.0,,
RmlnaHROb2RlOjM5NzI1,STRAIGHT,0,-224,173.0,,
RmlnaHROb2RlOjM5NzI1,STRAIGHT,0,172,21443.0,,
RmlnaHROb2RlOjM5NzMw,STRAIGHT,0,143,8759.0,,
RmlnaHROb2RlOjM5NzMw,STRAIGHT,0,-182,6960.0,,
RmlnaHROb2RlOjM5NzU0,STRAIGHT,0,-494,138.0,,
RmlnaHROb2RlOjM5NzU0,STRAIGHT,0,321,29164.0,,
RmlnaHROb2RlOjM5NzI3,STRAIGHT,0,312,5371.0,,
RmlnaHROb2RlOjM5NzI3,STRAIGHT,0,-459,306.0,,
RmlnaHROb2RlOjM5NzI2,STRAIGHT,0,-164,209.0,,
RmlnaHROb2RlOjM5NzI2,STRAIGHT,0,125,1734.0,,
RmlnaHROb2RlOjM5OTMx,STRAIGHT,0,-257,582.0,,
RmlnaHROb2RlOjM5OTMx,STRAIGHT,0,192,11897.0,,
RmlnaHROb2RlOjYyOTEw,STRAIGHT,0,-175,45539.0,,
RmlnaHROb2RlOjYyOTEw,STRAIGHT,0,139,9051.0,,
RmlnaHROb2RlOjYyOTA3,STRAIGHT,0,164,1751.0,,
RmlnaHROb2RlOjYyOTA3,STRAIGHT,0,-211,45145.0,,
RmlnaHROb2RlOjYyOTA2,STRAIGHT,0,-277,7374.0,,
RmlnaHROb2RlOjYyOTA2,STRAIGHT,0,209,42237.0,,
RmlnaHROb2RlOjQwMDI4,STRAIGHT,0,163,1260.0,,
RmlnaHROb2RlOjQwMDI4,STRAIGHT,0,-211,1926.0,,
RmlnaHROb2RlOjYyOTA4,STRAIGHT,0,-152,43004.0,,
RmlnaHROb2RlOjYyOTA4,STRAIGHT,0,118,41285.0,,
RmlnaHROb2RlOjQxMzY4,STRAIGHT,0,208,3467.0,,
RmlnaHROb2RlOjQxMzY4,STRAIGHT,0,-273,1899.0,,
RmlnaHROb2RlOjYzMDc3,STRAIGHT,0,108,34031.0,,
RmlnaHROb2RlOjYzMDc3,STRAIGHT,0,-139,35217.0,,
RmlnaHROb2RlOjYzMDc5,STRAIGHT,0,-500,49674.0,,
RmlnaHROb2RlOjYzMDc5,STRAIGHT,0,343,48394.0,,
RmlnaHROb2RlOjYzMDc4,STRAIGHT,0,-116,42806.0,,
RmlnaHROb2RlOjYzMDc4,STRAIGHT,0,-111,62.0,,
RmlnaHROb2RlOjYzMDgx,STRAIGHT,0,-149,17716.0,,
RmlnaHROb2RlOjYzMDgx,STRAIGHT,0,118,43920.0,,
RmlnaHROb2RlOjYzMDgw,STRAIGHT,0,-285,42807.0,,
RmlnaHROb2RlOjYzMDgw,STRAIGHT,0,213,46614.0,,
RmlnaHROb2RlOjYzMDgy,STRAIGHT,0,262,9499.0,,
RmlnaHROb2RlOjYzMDgy,STRAIGHT,0,-358,46724.0,,
RmlnaHROb2RlOjQxNzA0,STRAIGHT,0,181,36994.0,,
RmlnaHROb2RlOjQxNzA0,STRAIGHT,0,-236,11038.0,,
RmlnaHROb2RlOjQxMzk5,STRAIGHT,0,168,35182.0,,
RmlnaHROb2RlOjQxMzk5,STRAIGHT,0,-217,39445.0,,
RmlnaHROb2RlOjQxODgy,STRAIGHT,0,139,27786.0,,
RmlnaHROb2RlOjQxODgy,STRAIGHT,0,-175,39751.0,,
RmlnaHROb2RlOjQxOTY5,STRAIGHT,0,-234,30832.0,,
