slug,name,wins,losses,draws,division,reach,height,nickname,dob,nationality,social_media
bobby-taylor,BOBBY TAYLOR,6,3,0,Lightweight,69in / 175cm,68,ODB,04/1978,United States of America,https://www.instagram.com/BOBBYTODB
bobo-obannon,Bobo O'Bannon,4,4,0,Heavyweight,77.5 in / 1.96 m,74,Bible Belt Brawler,,United States of America,https://www.instagram.com/thebiblebeltbrawler/
bohdan-kotok,BOHDAN KOTOK,2,0,0,Heavyweight,78in / 198cm,1.9304,IRON HAMMER,08/1998,Poland,https://www.instagram.com/BOGDANKOTOK
bojan-kosednar,Bojan Kosednar,0,2,0,Middleweight,177 cm,1.73,Zelva,07/1983,Slovenia,https://www.instagram.com/zelva_mma/?hl=en
boonsom-klinmee,Boonsom Klinmee,1,0,0,,,71,,,Thailand,
bovar-khanakov,BOVAR KHANAKOV,5,3,0,Featherweight,68in / 173cm,1.8034,THE GLADIATOR,10/1991,Ukraine,https://www.instagram.com/khanakovbovar/
brad-machine-gun-kelly,Brad 'Machine Gun' Kelly,3,1,0,Middleweight,68in / 172.72cm,68,Machine Gun,02/1982,United States of America,
brad-watchorn,Brad Watchorn,0,0,0,Middleweight,79 in / 201cm,1.88,Bellator,09/1989,United Kingdom,
bradley-taylor,BRADLEY TAYLOR,4,0,0,Featherweight,69in / 175cm,1.7526,,06/2000,United Kingdom,https://www.instagram.com/bradley.taylor_
brady-meister,BRADY MEISTER,2,2,0,Heavyweight,77in / 195cm,79,BIG BIRD,06/1997,United States of America,https://www.instagram.com/bradymeisterathlete/
braeden-kuykendall,STASH KUYKENDALL,0,2,0,Lightweight,74in / 188cm,1.8034,,,,
braeden-tovey,Braeden Tovey,1,1,0,Middleweight,75 in,0,Bad Intentions,,United States of America,
brandon-allen,BRANDON ALLEN,6,2,0,Welterweight,70 in / 178cm,69,SUPERMAN,12/1989,United States of America,https://www.instagram.com/brandonsupermanallen/
brandon-boss-hogg-johnson,Brandon 'Boss Hogg' Johnson,2,4,0,Light Heavyweight,77in / 195.58,72,Boss Hogg,01/1979,United States of America,
brandon-bushaw,BRANDON BUSHAW,2,1,0,Lightweight,,68,,05/1981,United States of America,
brandon-comby,BRANDON COMBY,1,0,0,Lightweight,68in / 173cm,1.778,,11/1995,United Kingdom,
brandon-conley,BRANDON CONLEY,2,1,0,Cruiserweight,71in / 180cm,1.7526,STRONGHOLD,11/1988,United States of America,https://www.instagram.com/STRONGHOLD_500
brandon-girtz,BRANDON GIRTZ,1,2,0,Welterweight,69in / 175cm,1.7,,03/1985,United States of America,https://www.instagram.com/brandongirtzmma/
brandon-honsvick,BRANDON HONSVICK,1,2,0,Featherweight,72in / 183cm,1.7272,THE DOWNS WARRIOR,02/1986,United States of America,https://www.instagram.com/BRANDON_DOWNSWARRIOR_HONSVICK
brandon-lambert,Brandon Lambert,0,1,0,Bantamweight,,73,,,United States of America,
brandon-malbrough,Brandon Malbrough,0,1,0,,,,,,,
brandon-martin,Brandon Martin,0,1,0,Middleweight,,1.9,,02/1987,United States of America,
brandon-meneses,BRANDON MENESES,1,1,0,Featherweight,72in / 183cm,1.78,THE VOODO CHILD,09/1993,United States of America,https://www.instagram.com/meneses_mma/; https://www.facebook.com/brandon.g.meneses
brandon-meyer,BRANDON MEYER,3,4,0,Lightweight,72in / 183cm,1.778,BEASTMODE,06/1983,United States of America,https://www.instagram.com/brandonbeastmodemeyer/
brandon-shavers,BRANDON SHAVERS,2,1,0,Welterweight,79in / 201cm,1.9304,THE SHREDDER,10/1994,United States of America,https://www.instagram.com/theshredder_11/
branko-busick,BRANKO BUSICK,0,1,0,Heavyweight,73in / 185cm,1.8288,,07/1990,United States of America,
braxton-smith,BRAXTON SMITH,1,0,0,Heavyweight,72in / 183cm,1.8034,BEAUTIFUL MONSTER,01/1989,United States of America,https://www.instagram.com/beautifulmonster_mma/
brayden-marzona,BRAYDEN MARZONA,0,1,0,Middleweight,71in / 180cm,1.778,MAD DAWG,10/2001,Australia,https://www.instagram.com/brayden_marzona_ptt/
brendan-needham,Brendan Needham,2,1,0,,,74,,,United Kingdom,
brennan-ward,BRENNAN WARD,1,1,0,Middleweight,71in / 180cm,1.8034,IRISH,06/1988,United States of America,https://www.instagram.com/bwpugda170killah/
brett-fields,BRETT FIELDS,1,3,0,Lightweight,73in / 185.5cm,72,DA BEAST,08/1980,United States of America,
